Map,Team,P1,P2,P3,P4,P5,P1.1,P2.1,P3.1,P4.1,P5.1,P1.2,P2.2,P3.2,P4.2,P5.2,Total
Tuscan,Surge,32,11,47,28,32,50,7,20,23,,,,,,,250
Tuscan,Royal Ravens,5,40,0,17,14,6,23,31,12,,,,,,,148
Berlin,Surge,39,0,18,10,27,30,27,48,10,10,31,,,,,250
Berlin,Royal Ravens,8,51,31,20,22,24,21,3,45,17,5,,,,,247
Tuscan,Thieves,5,33,25,8,36,18,26,12,10,8,,,,,,181
Tuscan,Breach,26,3,30,35,18,15,14,35,39,35,,,,,,250
Berlin,Thieves,18,33,21,34,28,39,4,27,25,21,,,,,,250
Berlin,Breach,31,9,24,0,7,16,40,26,13,0,,,,,,166
Bocage,Ultra,2,0,28,23,8,7,5,36,22,19,12,0,,,,162
Bocage,OpTic,7,40,24,5,34,14,32,16,14,16,3,0,,,,205
Tuscan,Ultra,14,28,12,24,34,10,29,48,18,4,29,,,,,250
Tuscan,OpTic,32,4,37,24,13,24,14,2,24,37,14,,,,,225
Gavutu,FaZe,19,2,39,39,21,0,5,0,30,41,33,14,,,,243
Gavutu,Subliners,20,45,0,11,37,54,34,27,15,2,2,3,,,,250
Tuscan,FaZe,27,15,31,33,3,36,8,18,30,27,22,,,,,250
Tuscan,Subliners,19,28,2,11,45,19,26,32,14,11,3,,,,,210
Gavutu,Royal Ravens,18,8,7,54,38,55,6,19,0,41,4,,,,,250
Gavutu,Subliners,13,27,41,0,13,2,41,17,53,7,0,,,,,214
Berlin,Royal Ravens,24,11,12,22,10,14,35,20,23,2,0,,,,,173
Berlin,Subliners,19,25,41,25,19,33,6,28,8,13,33,,,,,250
Tuscan,Breach,13,30,20,8,30,7,27,18,8,9,,,,,,170
Tuscan,Ultra,35,14,21,33,11,38,12,30,35,21,,,,,,250
Berlin,Breach,42,17,12,8,12,0,49,26,8,22,20,2,,,,218
Berlin,Ultra,2,24,35,31,17,52,0,27,21,1,33,7,,,,250
Tuscan,FaZe,9,17,25,50,18,19,48,3,40,19,0,,,,,248
Tuscan,Surge,36,30,24,5,27,36,0,40,8,30,14,,,,,250
Berlin,FaZe,27,12,44,2,15,52,19,0,32,12,29,0,,,,244
Berlin,Surge,18,26,3,42,22,0,17,49,2,28,24,19,,,,250
Gavutu,OpTic,14,7,9,6,16,2,4,,,,,,,,,58
Gavutu,Thieves,28,44,41,49,22,44,22,,,,,,,,,250
Tuscan,Surge,40,22,38,2,26,1,53,18,31,0,19,,,,,250
Tuscan,Ultra,3,25,6,42,25,42,0,19,23,46,7,,,,,238
Berlin,Surge,46,44,30,43,14,3,16,36,3,1,14,,,,,250
Berlin,Ultra,2,1,24,5,7,49,36,13,34,34,0,,,,,205
Tuscan,Subliners,3,48,19,16,15,29,19,35,32,13,8,,,,,237
Tuscan,OpTic,43,0,35,26,35,9,29,17,13,27,16,,,,,250
Tuscan,FaZe,13,0,30,45,9,25,17,46,14,40,11,,,,,250
Tuscan,Thieves,34,48,13,1,30,19,20,0,32,12,0,,,,,209
Berlin,FaZe,28,4,0,12,12,0,14,1,,,,,,,,71
Berlin,Thieves,20,38,57,12,13,51,25,34,,,,,,,,250
Tuscan,Surge,31,57,29,15,42,3,29,18,26,,,,,,,250
Tuscan,OpTic,9,0,15,36,0,30,20,24,6,,,,,,,140
Berlin,Surge,9,50,24,0,5,9,10,42,22,25,54,,,,,250
Berlin,OpTic,35,1,31,34,29,41,19,1,18,11,0,,,,,220
Bocage,FaZe,11,15,6,0,16,11,41,8,5,36,1,,,,,150
Bocage,Surge,11,27,36,35,27,19,9,40,38,5,3,,,,,250
Berlin,FaZe,28,43,20,26,24,10,19,18,30,11,21,,,,,250
Berlin,Surge,5,3,28,17,12,38,23,18,15,31,0,,,,,190
Gavutu,Thieves,3,6,49,17,43,32,32,46,0,22,,,,,,250
Gavutu,FaZe,30,35,0,26,0,15,21,7,53,0,,,,,,187
Tuscan,Thieves,12,5,36,43,28,35,5,38,5,43,,,,,,250
Tuscan,FaZe,26,34,12,8,27,16,38,11,40,0,,,,,,212
