28-13 330 Pts,HP,,SnD,,CTR,,Total,,330,Pts,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FaZe,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,FaZe Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
Berlin,2,6,11,8,3,3,16,17,,1,Wk 1,1,Hardpoint,Gavutu,218,Legion,250,Legion,,1,Wk 1,3,Legion,2,FaZe,,Map,W,L,Win%,PPG,PPGA,PF,PA,P/M,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,50 Pt Hills,0 Pt Hills,50 PHA,Shutouts,,,,,,
Bocage,14,5,5,6,0,0,19,11,,1,Wk 1,2,SnD,Desert Siege,6,Legion,3,FaZe,,1,Wk 1,3,Thieves,1,FaZe,,Berlin,2,6,25.00%,211.25,237.63,1690,1901,-211,19.64,23.14,432,509,-77,22,20.79,19.11,395,363,32,19,19.25,28.25,308,452,-144,16,19.50,22.63,312,362,-50,16,16.20,14.33,243,215,28,15,1,9,4,2,,,,,,
Desert Siege,0,0,8,4,0,0,8,4,,1,Wk 1,3,Control,Gavutu,1,Legion,3,Legion,,1,Wk 2,3,Breach,1,FaZe,,Bocage,14,5,73.68%,234.26,198.53,4451,3772,679,15.06,11.87,813,641,172,54,22.52,17.40,1081,835,246,48,22.29,20.80,914,853,61,41,23.82,17.71,905,673,232,38,19.42,20.26,738,770,-32,38,1,8,0,12,,,,,,
Gavutu,12,7,0,0,8,7,20,14,,1,Wk 1,4,Hardpoint,Tuscan,250,Legion,174,FaZe,,1,Wk 3,3,Rokkr,0,FaZe,,Gavutu,12,7,63.16%,225.68,185.79,4288,3530,758,21.61,21.68,886,889,-3,41,23.00,21.32,874,810,64,38,25.55,20.87,971,793,178,38,29.37,15.29,1028,535,493,35,20.35,19.35,529,503,26,26,15,16,6,24,,,,,,
Tuscan,15,10,8,7,16,7,39,24,,1,Wk 1,5,SnD,Berlin,6,Legion,1,FaZe,,1,Wk 3,3,Subliners,1,FaZe,,Tuscan,15,10,60.00%,237.16,217.32,5929,5433,496,22.37,20.02,1409,1261,148,63,24.81,18.44,1290,959,331,52,20.30,21.54,1015,1077,-62,50,26.18,20.42,1309,1021,288,50,18.49,22.76,906,1115,-209,49,13,13,7,19,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,1,Hardpoint,Tuscan,248,Thieves,250,Thieves,,1,Major,3,Breach,0,FaZe,,,0,0,,,,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,2,SnD,Desert Siege,6,Thieves,4,FaZe,,1,Major,2,OpTic,3,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,3,Control,Tuscan,3,Thieves,0,FaZe,,1,Major,3,Thieves,2,FaZe,,Overall,43,28,60.56%,230.39,206.14,16358,14636,1722,19.67,18.33,3540,3300,240,180,23.18,18.90,3640,2967,673,157,22.12,21.90,3208,3175,33,145,25.57,18.64,3554,2591,963,139,18.88,20.34,2416,2603,-187,128,30,46,17,57,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,4,Hardpoint,Bocage,250,Thieves,136,FaZe,,1,Major,3,Ultra,0,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,43,28,32,25,27,17,102,70,,1,Wk 2,1,Hardpoint,Gavutu,250,Breach,102,FaZe,,1,Major,3,Royal Ravens,1,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,60.56%,,56.14%,,61.36%,,59.30%,,,1,Wk 2,2,SnD,Berlin,2,Breach,6,Breach,,1,Major,2,OpTic,5,OpTic,,SnD,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
PF,16358,,271,,105,,,,,1,Wk 2,3,Control,Gavutu,3,Breach,2,FaZe,,2,Wk 1,2,Surge,3,Surge,,Map,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
PA,14636,,239,,85,,,,,1,Wk 2,4,Hardpoint,Bocage,250,Breach,188,FaZe,,2,Wk 2,3,Royal Ravens,1,FaZe,,Berlin,11,8,57.89%,4.79,4.11,0.68,169,91,78,53.85%,79,46.75%,56,70.89%,86,47,39,54.65%,36,41.86%,25,69.44%,47,33,70.21%,18,14,77.78%,29,19,65.52%,83,44,39,53.01%,43,51.81%,31,72.09%,46,17,36.96%,23,7,30.43%,23,10,43.48%
PPG,230.39,,4.75,,2.39,,,,,1,Wk 3,1,Hardpoint,Tuscan,250,Rokkr,163,FaZe,,2,Wk 2,3,Ultra,2,FaZe,,Bocage,5,6,45.45%,4.55,4.27,0.27,97,50,47,51.55%,45,46.39%,35,77.78%,49,21,28,42.86%,20,40.82%,13,65.00%,25,13,52.00%,19,7,36.84%,6,6,100.00%,48,29,19,60.42%,25,52.08%,22,88.00%,23,12,52.17%,10,6,60.00%,13,6,46.15%
PPGA,206.14,,4.19,,1.93,,,,,1,Wk 3,2,SnD,Tuscan,6,Rokkr,5,FaZe,,2,Wk 3,3,Mutineers,1,FaZe,,Desert Siege,8,4,66.67%,4.67,3.83,0.83,102,56,46,54.90%,52,50.98%,45,86.54%,50,26,24,52.00%,26,52.00%,21,80.77%,31,25,80.65%,10,10,100.00%,21,15,71.43%,52,30,22,57.69%,26,50.00%,24,92.31%,33,13,39.39%,21,6,28.57%,12,7,58.33%
Avg Diff,24.25,,0.56,,0.45,,,,,1,Wk 3,3,Control,Tuscan,3,Rokkr,1,FaZe,,2,Wk 3,0,OpTic,3,OpTic,,Tuscan,8,7,53.33%,4.93,4.53,0.40,142,74,68,52.11%,75,52.82%,54,72.00%,70,33,37,47.14%,30,42.86%,20,66.67%,42,27,64.29%,30,19,63.33%,12,8,66.67%,72,41,31,56.94%,45,62.50%,34,75.56%,35,14,40.00%,22,10,45.45%,13,4,30.77%
,,,,,,,,,,1,Wk 3,1,Hardpoint,Berlin,250,Subliners,189,FaZe,,2,Major,3,Subliners,0,FaZe,,,0,0,,,,0.00,0,0,0,,0,,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,,0,0,0,,0,,0,,0,0,,0,0,,0,0,
4-2,HP,,SnD,,CTR,,Total,,,1,Wk 3,2,SnD,Tuscan,6,Subliners,1,FaZe,,2,Major,3,Surge,2,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thieves,W,L,W,L,W,L,W,L ,,1,Wk 3,3,Control,Gavutu,2,Subliners,3,Subliners,,2,Major,3,Breach,0,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,0,2,2,1,0,0,2,3,,1,Wk 3,4,Hardpoint,Tuscan,250,Subliners,190,FaZe,,2,Major,5,Guerrillas,2,Guerrillas,,Overall,32,25,56.14%,4.75,4.19,0.56,510,271,239,53.14%,251,49.22%,190,75.70%,255,127,128,49.80%,112,43.92%,79,70.54%,145,98,67.59%,77,50,64.94%,68,48,70.59%,255,144,111,56.47%,139,54.51%,111,79.86%,137,56,40.88%,76,29,38.16%,61,27,44.26%
Bocage,1,0,2,0,0,0,3,0,,1,Major,1,Hardpoint,Bocage,250,Breach,207,FaZe,,3,Wk 1,3,Subliners,1,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Siege,0,0,1,0,0,0,1,0,,1,Major,2,SnD,Tuscan,6,Breach,4,FaZe,,3,Wk 2,3,Breach,0,FaZe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,2,1,0,0,1,0,3,1,,1,Major,3,Control,Tuscan,3,Breach,1,FaZe,,3,Wk 2,1,OpTic,3,OpTic,,Control,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,
Tuscan,2,3,0,2,3,2,5,7,,1,Major,1,Hardpoint,Bocage,250,OpTic,177,FaZe,,3,Wk 3,0,Rokkr,3,Rokkr,,Map,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA,,,,
,0,0,0,0,0,0,0,0,,1,Major,2,SnD,Berlin,6,OpTic,3,FaZe,,3,Wk 3,3,Guerrillas,1,FaZe,,Gavutu,8,7,53.33%,2.33,2.20,0.13,68,35,33,51.47%,624,9.18,34,8,26,23.53%,22,7,31.82%,5,5,100.00%,4,50.00%,4,50.00%,277,8.15,101,2.97,34,27,7,79.41%,9,26,25,92.59%,2,7.41%,347,10.21,105,3.09,,,,
,0,0,0,0,0,0,0,0,,1,Major,3,Control,Tuscan,2,OpTic,3,OpTic,,3,Major,3,Ultra,1,FaZe,,Tuscan,16,7,69.57%,2.48,1.70,0.78,96,57,39,59.38%,736,7.67,46,14,32,30.43%,44,12,27.27%,11,11,100.00%,9,64.29%,5,35.71%,296,6.43,197,4.28,50,43,7,86.00%,1,39,36,83.72%,7,16.28%,440,8.80,194,3.88,,,,
