HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bocage,Mutineers,19,23,11,13,34,10,17,31,15,22,19,11,25,,,250,13,,48,16,3,51,-31,3,67,25,3,28,-33,2,56,27,2,19.23,34,10,0,0,0,0,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Bocage,Guerrillas,3,23,20,30,5,10,31,12,31,24,19,28,10,,,246,,,32,-16,3,82,31,3,42,-25,3,61,33,2,29,-27,2,18.92,31,3,0,0,0,0,,,Breach,68,72,-4,3,73,37,36,3,50,52,-2,2,37,38,-1,2,22,41,-19,2,250,240,10,0,1,0,1,12,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Mutineers,,B,D,,1,A,O,,1,,D,,1,,O,,,B,D,X,1,A,O,X,,B,D,,1,A,O,,1,,D,X,,,,,,,,,6,,4,4,1,1,3,3,0,0,5,2,2,1,0,0,3,0,,,Breach,7,1,6,14.29%,3,3,1,2,1,0,1,0,0,0,4,0,4,2,0,1,0,1,0,,,,,,Tuscan,Mutineers,1,X,X,6,O,19,1,,X,,D,10,,X,,4,O,3,,,,,D,0,,,,,D,0,2,32,10,,2,1,2,1,1,1,22,1,0,10,3,1,10,0,1,1,0,12,,Breach,5,1,4,20.00%,3,0,3,1,0,0,0,30,0,0,8,2,1,1,10,0,0,1,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Guerrillas,1,B,O,X,,A,D,X,,,O,X,,,D,X,1,B,O,,,A,D,,1,B,O,X,,A,D,X,,,O,,,,,,,,,,3,,5,3,3,2,0,0,3,3,4,0,3,0,3,0,0,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Guerrillas,,,,,D,2,,X,,3,O,3,1,,X,,D,3,1,X,,4,O,7,1,X,,5,O,10,3,25,12,,3,2,3,2,0,0,20,0,2,12,2,1,5,0,1,1,0,10,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Mutineers,25,12,54,0,12,26,33,44,31,13,,,,,,250,10,,51,11,2,45,-4,2,98,87,2,31,-19,2,25,13,2,25.00,54,0,1,1,0,1,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,5,2,3,40.00%,3,0,3,3,0,0,0,13,0,0,9,2,2,0,35,2,2,2,0,2
Berlin,Guerrillas,18,32,0,41,11,22,17,11,9,1,,,,,,162,,,40,-11,2,49,4,2,11,-87,2,50,19,2,12,-13,2,16.20,41,0,0,1,1,1,,,Mutineers,96,92,4,5,79,81,-2,4,120,93,27,4,54,122,-68,4,51,24,27,4,400,412,-12,1,4,1,1,21,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,3,0,3,0.00%,2,0,2,2,0,0,0,2,0,0,9,1,0,1,0,0,0,0,0,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,72,68,4,3,37,73,-36,3,52,50,2,2,38,37,1,2,41,22,19,2,240,250,-10,0,1,0,1,12,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,17,12,5,70.59%,8,8,7,1,3,3,5,5,0,0,9,5,4,5,3,1,0,4,1,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Surge,1,B,D,,,,O,,1,A,D,X,,B,O,,1,,D,X,,,O,,1,,D,X,,B,O,,1,,D,X,1,A,O,,,,,,6,,5,1,0,0,1,1,2,0,5,5,4,4,1,1,1,1,,,Subliners,7,6,1,85.71%,4,4,4,0,2,2,1,1,1,1,3,2,1,2,1,1,1,0,0,,,,,,Tuscan,Royal Ravens,,X,,4,O,4,,,,,D,0,,X,,3,O,1,,,,,,,,,,,,,0,5,7,,2,0,2,0,0,0,5,0,0,7,1,0,0,0,0,0,0,3,,Subliners,8,3,5,37.50%,4,1,3,1,1,0,0,31,0,1,6,4,2,2,31,1,1,2,0,13
Bocage,Surge,27,38,5,30,8,30,2,8,38,16,29,19,,,,250,12,,86,69,3,59,10,3,13,-54,2,68,46,2,24,-24,2,20.83,38,2,0,0,0,1,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Royal Ravens,,B,O,X,1,,D,X,,A,O,,1,B,D,X,,,O,,1,,D,X,,,O,,1,B,D,X,,,O,,,A,D,X,,,,,4,,5,0,1,0,1,0,1,0,5,4,5,4,1,0,2,2,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Surge,1,,X,,D,7,1,X,,3,O,3,1,,X,,D,7,,,,,,,,,,,,,3,17,3,,1,1,1,1,0,0,3,0,1,3,2,2,14,0,2,2,0,7,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Royal Ravens,10,12,28,16,18,3,37,39,6,30,4,0,,,,203,,,17,-69,3,49,-10,3,67,54,2,22,-46,2,48,24,2,16.92,39,0,0,1,0,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,10,4,6,40.00%,6,5,0,5,1,0,1,0,1,0,5,4,1,5,4,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
