24-12 265 Pts,HP,,SnD,,CTR,,Total,,,,,,,Game Results,,,,,,,,Match Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpTic,W,L,W,L,W,L,W,L ,,Stage,Event,Game,Mode,Map ,Score,Opponent,Score,Winner,,Stage,Event,OpTic Game Wins,Opponent,Opponent Game Wins,Winner,,Hardpoint,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,,,,,,,
Berlin,6,9,11,8,5,3,22,20,,1,Wk 1,1,Hardpoint,Bocage,188,Royal Ravens,163,OpTic,,1,Wk 1,2,Royal Ravens,3,Royal Ravens,,Map,W,L,Win%,PPG,PPGA,PF,PA,P/M,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,50 Pt Hills,0 Pt Hills,50 PHA,Shutouts,,,,,,
Bocage,10,9,7,5,0,0,17,14,,1,Wk 1,2,SnD,Berlin,6,Royal Ravens,5,OpTic,,1,Wk 1,2,Rokkr,3,Rokkr,,Berlin,6,9,40.00%,215.20,218.00,3228,3270,-42,25.56,16.98,1048,696,352,41,16.03,24.65,545,838,-293,34,23.03,22.81,737,730,7,32,15.67,19.37,470,581,-111,30,14.27,14.17,428,425,3,30,3,15,4,14,,,,,,
Desert Siege,0,0,1,3,0,0,1,3,,1,Wk 1,3,Control,Tuscan,1,Royal Ravens,3,Royal Ravens,,1,Wk 2,3,Legion,0,OpTic,,Bocage,10,9,52.63%,206.79,214.58,3929,4077,-148,9.02,13.18,505,738,-233,56,17.64,17.45,970,960,10,55,18.37,21.33,790,917,-127,43,24.63,18.34,936,697,239,38,19.16,20.13,728,765,-37,38,2,13,2,11,,,,,,
Gavutu,10,2,0,0,6,1,16,3,,1,Wk 1,4,Hardpoint,Berlin,150,Royal Ravens,250,Royal Ravens,,1,Wk 3,3,Ultra,0,OpTic,,Gavutu,10,2,83.33%,249.58,196.75,2995,2361,634,20.45,20.34,593,590,3,29,24.58,18.42,590,442,148,24,29.08,18.75,698,450,248,24,24.74,23.83,569,548,21,23,25.95,15.76,545,331,214,21,10,6,3,18,,,,,,
Tuscan,9,5,10,3,15,7,34,15,,1,Wk 1,5,SnD,Bocage,5,Royal Ravens,6,Royal Ravens,,1,Wk 3,3,Breach,1,OpTic,,Tuscan,9,5,64.29%,233.64,208.07,3271,2913,358,19.16,21.54,709,797,-88,37,25.50,14.90,765,447,318,30,22.00,18.18,616,509,107,28,19.86,23.07,556,646,-90,28,23.15,19.04,625,514,111,27,2,8,1,9,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,1,Hardpoint,Tuscan,250,Rokkr,157,OpTic,,1,Major,3,Surge,0,OpTic,,,0,0,,,,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,2,SnD,Tuscan,1,Rokkr,6,Rokkr,,1,Major,3,FaZe,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,3,Control,Tuscan,3,Rokkr,2,OpTic,,1,Major,3,Royal Ravens,1,OpTic,,Overall,35,25,58.33%,223.72,210.35,13423,12621,802,17.52,17.31,2855,2821,34,163,20.07,18.79,2870,2687,183,143,22.37,20.52,2841,2606,235,127,21.27,20.77,2531,2472,59,119,20.05,17.54,2326,2035,291,116,17,42,10,52,,,,,,
,0,0,0,0,0,0,0,0,,1,Wk 1,4,Hardpoint,Berlin,244,Rokkr,250,Rokkr,,1,Major,5,FaZe,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total W/L,35,25,29,19,26,11,90,55,,1,Wk 1,5,SnD,Berlin,5,Rokkr,6,Rokkr,,2,Wk 1,3,Thieves,2,OpTic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Win%,58.33%,,60.42%,,70.27%,,62.07%,,,1,Wk 2,1,Hardpoint,Bocage,228,Legion,161,OpTic,,2,Wk 2,3,Surge,1,OpTic,,SnD,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
PF,13423,,242,,88,,,,,1,Wk 2,2,SnD,Berlin,6,Legion,3,OpTic,,2,Wk 2,3,Mutineers,0,OpTic,,Map,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
PA,12621,,209,,61,,,,,1,Wk 2,3,Control,Tuscan,3,Legion,1,OpTic,,2,Wk 3,3,Guerrillas,0,OpTic,,Berlin,11,8,57.89%,4.95,4.37,0.58,177,94,83,53.11%,82,46.33%,62,75.61%,89,56,33,62.92%,40,44.94%,34,85.00%,55,41,74.55%,15,13,86.67%,40,28,70.00%,88,38,50,43.18%,42,47.73%,28,66.67%,57,16,28.07%,36,8,22.22%,21,8,38.10%
