HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Royal Ravens,24,56,11,11,17,37,22,11,31,9,21,,,,,250,11,,82,43,3,78,59,2,22,-47,2,42,1,2,26,-47,2,22.73,56,9,1,0,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Tuscan,Guerrillas,15,0,23,28,37,12,19,46,13,36,12,,,,,241,,,39,-43,3,19,-59,2,69,47,2,41,-1,2,73,47,2,21.91,46,0,0,1,1,0,,,Breach,157,51,106,6,83,92,-9,4,131,62,69,4,68,81,-13,4,61,44,17,4,500,330,170,1,0,0,2,22,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,94,29,65,3,20,77,-57,2,22,74,-52,2,30,40,-10,2,12,30,-18,2,178,250,-72,0,1,0,0,11,,,,,,Berlin,Royal Ravens,1,B,D,X,1,B,O,X,,B,D,X,,,O,X,,A,D,X,,A,O,,1,,D,X,1,A,O,X,,B,D,X,1,B,O,X,,,D,,5,,5,3,4,3,2,1,2,2,6,2,5,2,1,0,3,1,,,Breach,20,11,9,55.00%,11,9,5,4,5,3,1,1,4,2,11,6,5,6,6,5,1,3,2,,,,,,Gavutu,Royal Ravens,1,X,X,6,O,25,1,,X,,D,3,,,,2,O,10,,,,,D,0,,X,,3,O,7,2,45,11,,3,1,2,1,1,1,42,1,0,11,2,1,3,0,1,1,0,7,,Breach,4,1,3,25.00%,2,0,2,1,0,0,0,13,0,0,4,2,1,1,14,1,1,1,0,8
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,126,70,56,5,121,43,78,4,94,83,11,4,76,91,-15,4,83,49,34,4,500,336,164,2,1,0,2,21,,,,,,Berlin,Guerrillas,,B,O,,,B,D,,1,B,O,,1,,D,,1,A,O,,1,A,D,X,,,O,,,A,D,,1,B,O,,,B,D,,1,,O,X,6,,6,4,1,1,1,1,3,2,5,2,1,1,2,1,2,0,,,OpTic,34,21,13,61.76%,18,17,9,8,8,5,2,2,8,4,17,12,5,10,8,6,4,4,2,,,,,,Gavutu,Guerrillas,,,,,D,16,,X,,3,O,3,1,X,X,,D,17,1,X,,4,O,6,1,,X,,D,10,3,52,7,,2,1,2,1,0,0,9,0,1,7,3,2,43,1,2,2,0,11,,OpTic,8,6,2,75.00%,3,2,1,2,2,3,2,52,2,0,15,5,4,1,56,3,4,4,0,12
Berlin,Royal Ravens,43,24,35,25,21,41,46,13,2,,,,,,,250,9,,84,71,2,70,49,2,48,6,2,27,9,2,21,17,1,27.78,46,2,0,0,0,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,16,4,12,25.00%,9,8,2,6,4,1,1,0,3,0,8,2,6,5,2,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,8,6,2,75.00%,4,3,1,3,3,2,2,39,2,1,14,4,3,1,32,2,3,3,0,10
Berlin,Guerrillas,3,19,13,9,4,10,2,29,9,,,,,,,98,,,13,-71,2,21,-49,2,42,-6,2,18,-9,2,4,-17,1,10.89,29,2,0,0,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,27,16,11,59.26%,14,14,6,8,6,2,2,1,2,1,13,10,3,8,6,1,0,5,4,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,5,2,3,40.00%,3,1,2,2,1,1,1,43,1,0,9,2,1,1,22,1,0,1,0,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,21,83,-62,3,19,64,-45,2,40,48,-8,2,65,21,44,2,46,34,12,2,191,250,-59,0,1,1,0,11,,,,,,Desert Siege,Guerrillas,1,,D,X,,,O,,1,B,D,X,,B,O,,,A,D,,,B,O,,1,,D,X,,,O,,,,D,,,,,,,,,,3,,4,0,0,0,0,0,2,0,5,3,3,3,1,0,1,1,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,,X,,5,O,6,1,,X,,D,10,1,,X,5,O,6,1,,,,D,2,,,,,,,3,24,10,,2,1,1,0,1,1,12,0,1,10,2,2,12,0,1,2,0,9,,Subliners,4,1,3,25.00%,2,0,2,0,0,0,0,11,0,0,3,2,1,1,21,1,1,1,0,4
Bocage,FaZe,15,29,29,3,32,15,31,18,29,5,15,28,1,,,250,13,,45,7,3,88,50,3,48,7,3,32,-25,2,37,4,2,19.23,32,1,0,0,0,2,,,Royal Ravens,179,187,-8,8,215,69,146,7,180,103,77,6,104,89,15,6,72,41,31,5,750,489,261,0,0,0,2,32,,,,,,Desert Siege,Royal Ravens,,,O,,1,,D,X,,B,O,,1,B,D,X,1,A,O,X,1,B,D,X,,,O,,1,,D,X,1,,O,X,,,,,,,,,6,,5,2,2,2,1,1,1,0,4,4,4,4,0,0,2,2,,,Rokkr,17,12,5,70.59%,9,9,6,3,5,5,1,1,4,2,8,6,2,4,4,2,2,3,2,,,,,,Tuscan,Breach,1,,X,,D,5,,X,,4,O,6,,,,,D,0,,X,,5,O,1,,,,,,,1,12,9,,2,0,2,0,0,0,7,0,0,9,2,1,5,0,1,1,0,10,,Rokkr,9,4,5,44.44%,4,1,3,4,1,0,0,28,0,1,14,5,3,2,43,3,3,3,0,16
Bocage,Breach,6,9,17,36,0,17,12,24,21,33,15,17,0,,,207,,,38,-7,3,38,-50,3,41,-7,3,57,25,2,33,-4,2,15.92,36,0,0,2,0,0,,,Legion,131,110,21,6,49,125,-76,4,98,85,13,4,78,58,20,4,39,58,-19,4,395,436,-41,1,2,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,28,10,18,35.71%,17,13,4,9,7,4,6,2,3,2,15,6,9,10,4,2,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,13,5,8,38.46%,7,1,6,3,1,1,1,80,1,0,18,6,4,2,54,1,4,3,1,21
