HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Mutineers,0,50,8,25,11,0,25,0,,,,,,,,119,8,,0,-85,2,75,49,2,8,-70,2,25,-7,1,11,-18,1,14.88,50,0,1,3,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Royal Ravens,40,0,45,32,29,45,26,33,,,,,,,,250,,,85,85,2,26,-49,2,78,70,2,32,7,1,29,18,1,31.25,45,0,0,1,1,3,,,Breach,58,83,-25,3,85,24,61,3,31,77,-46,3,24,17,7,2,16,49,-33,2,214,250,-36,0,2,1,0,13,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,111,122,-11,5,119,90,29,5,84,125,-41,5,63,89,-26,4,17,74,-57,4,394,500,-106,0,3,1,0,23,,,,,,Desert Siege,Mutineers,,A,D,,,,O,,,A,D,,1,B,O,,,B,D,,,,O,,,B,D,,,,,,,,,,,,,,,,,,1,,3,1,0,0,0,0,1,1,4,0,0,0,2,0,2,0,,,Breach,10,6,4,60.00%,5,5,4,1,3,3,0,0,4,3,5,2,3,2,1,3,1,1,0,,,,,,Gavutu,Mutineers,,,,,O,11,1,,X,,D,4,,X,,3,O,6,,,,,D,0,,,,,,,1,21,3,,2,0,1,0,0,0,17,0,0,3,2,1,4,0,1,1,0,7,,Breach,5,3,2,60.00%,3,2,1,3,2,0,0,16,0,2,15,2,1,1,10,0,1,1,0,9
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Royal Ravens,1,A,O,X,1,,D,X,1,A,O,X,,B,D,X,1,B,O,X,1,,D,X,1,B,O,X,,,,,,,,,,,,,,,,,6,,4,4,4,4,2,2,2,2,3,2,3,2,0,0,1,0,,,OpTic,22,11,11,50.00%,10,11,7,4,6,6,1,1,6,5,11,4,7,4,3,4,2,4,0,,,,,,Gavutu,Royal Ravens,1,X,X,,D,19,,X,,3,O,7,1,,X,,D,5,1,X,,4,O,13,,,,,,,3,44,7,,2,1,2,1,0,0,20,0,1,7,2,2,24,1,2,2,0,3,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Guerrillas,9,0,30,15,28,8,19,20,48,4,23,22,24,,,250,13,,40,17,3,41,-41,3,74,27,3,63,27,2,32,-17,2,19.23,48,0,0,1,0,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Breach,7,49,12,30,7,13,24,23,6,42,3,9,12,,,237,,,23,-17,3,82,41,3,47,-27,3,36,-27,2,49,17,2,18.23,49,3,0,0,0,1,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,7,6,1,85.71%,6,3,3,0,2,2,2,2,1,1,4,3,1,4,3,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,4,1,3,25.00%,2,0,2,1,0,0,0,21,0,0,3,2,1,1,17,1,1,1,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,35,55,-20,2,5,95,-90,2,62,33,29,2,30,34,-4,2,26,33,-7,2,158,250,-92,0,0,0,0,10,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,9,4,5,44.44%,5,1,4,4,1,1,1,34,1,0,16,4,3,1,34,2,3,3,0,10
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,57,73,-16,3,36,87,-51,3,71,49,22,3,34,28,6,2,52,7,45,2,250,244,6,0,0,0,2,13,,,,,,Tuscan,Breach,1,,D,X,1,A,O,,1,A,D,X,1,A,O,X,,,D,X,1,,O,,,A,D,,,,O,,1,,D,,,,,,,,,,6,,4,3,1,1,2,2,0,0,5,3,3,2,2,1,0,0,,,Subliners,6,0,6,0.00%,1,3,0,3,0,0,1,0,0,0,3,0,3,1,0,1,0,2,0,,,,,,Gavutu,Guerrillas,,X,,4,O,13,1,,X,,D,6,1,X,,5,O,18,,,,,D,0,,,,,D,0,2,37,9,,2,1,2,1,0,0,31,0,1,9,3,1,6,0,1,0,1,15,,Subliners,5,2,3,40.00%,3,0,3,1,0,0,0,31,0,0,4,2,2,0,20,1,2,2,0,7
Berlin,Guerrillas,12,13,50,1,12,24,2,23,16,37,47,9,4,,,250,13,,83,25,3,24,-61,3,77,46,3,17,-7,2,49,33,2,19.23,50,1,1,0,0,2,,,Royal Ravens,65,38,27,2,54,32,22,2,54,35,19,2,55,35,20,2,22,10,12,2,250,150,100,1,0,0,1,10,,,,,,Tuscan,Guerrillas,,,O,,,A,D,X,,A,O,,,A,D,,1,,O,,,,D,X,1,A,O,X,1,,D,X,,,O,X,,,,,,,,,3,,5,2,2,1,2,1,0,0,4,1,3,1,2,0,0,0,,,Rokkr,11,6,5,54.55%,7,6,5,1,5,4,3,2,2,2,5,1,4,2,1,1,0,3,0,,,,,,Gavutu,Breach,1,,X,,D,10,,X,,5,O,0,,,,,D,0,1,X,,5,O,9,1,X,,5,O,7,3,26,15,,3,2,3,2,0,0,16,0,2,15,2,1,10,0,1,1,0,9,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Breach,30,28,3,19,16,26,41,28,5,0,2,16,0,,,214,,,58,-25,3,85,61,3,31,-46,3,24,7,2,16,-33,2,16.46,41,0,0,2,1,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,11,5,6,45.45%,5,5,2,3,2,2,1,0,2,2,6,3,3,3,3,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,4,3,1,75.00%,2,1,1,2,1,0,0,20,0,1,7,2,2,0,24,1,2,2,0,3
