HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Royal Ravens,19,53,15,7,8,37,17,36,39,19,,,,,,250,10,,56,22,2,70,50,2,51,12,2,46,-2,2,27,-8,2,25.00,53,7,1,0,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Gavutu,Breach,24,0,32,39,17,10,20,7,9,18,,,,,,176,,,34,-22,2,20,-50,2,39,-12,2,48,2,2,35,8,2,17.60,39,0,0,1,1,0,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,74,44,30,3,32,37,-5,2,74,21,53,2,28,43,-15,2,42,33,9,2,250,178,72,0,0,0,2,11,,,,,,Berlin,Royal Ravens,1,,D,X,1,A,O,X,1,A,D,X,1,,O,X,1,,D,X,,,O,,,B,D,,,,O,,,,D,,,A,O,X,,B,D,,5,,5,2,3,2,2,1,0,0,6,3,3,3,1,1,2,0,,,Breach,11,6,5,54.55%,5,6,3,3,3,3,1,0,2,2,5,3,2,2,2,2,1,0,0,,,,,,Berlin,Breach,1,X,,5,O,10,1,,X,,D,13,1,X,,5,O,12,,,,,,,,,,,,,3,35,10,,2,2,2,2,0,0,22,0,2,10,1,1,13,0,1,1,0,3,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Breach,,,O,,,A,D,,,A,O,,,,D,,,,O,,1,,D,X,1,B,O,X,1,,D,X,1,,O,X,1,A,D,,1,B,O,X,6,,6,3,3,3,1,0,2,2,5,3,2,2,2,1,0,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Royal Ravens,,,,,D,0,,X,,3,O,7,,,,,D,0,,,,,,,,,,,,,0,7,3,,1,0,1,0,0,0,7,0,0,3,2,0,0,0,0,0,0,10,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Royal Ravens,29,10,2,25,24,9,27,2,39,26,24,,,,,217,11,,62,-5,3,37,-3,2,4,-68,2,64,35,2,50,8,2,19.73,39,2,0,0,0,0,,,FaZe,44,74,-30,3,37,32,5,2,21,74,-53,2,43,28,15,2,33,42,-9,2,178,250,-72,0,2,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Breach,18,25,45,22,18,39,15,27,7,24,10,,,,,250,,,67,5,3,40,3,2,72,68,2,29,-35,2,42,-8,2,22.73,45,7,0,0,0,0,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,61,77,-16,3,65,68,-3,3,63,37,26,2,22,24,-2,2,14,44,-30,2,225,250,-25,0,0,0,0,12,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,11,5,6,45.45%,1,6,4,2,1,1,3,3,1,0,5,1,4,0,0,1,0,2,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,4,3,1,75.00%,2,1,1,1,1,1,1,31,1,0,6,2,2,0,27,1,2,2,0,5
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Ultra,1,B,D,X,1,,O,X,1,A,D,X,1,B,O,X,,A,D,X,,,O,,1,A,D,,,,O,,1,,D,X,,,,,,,,,6,,4,2,2,2,0,0,1,1,5,4,4,3,3,2,1,1,,,Subliners,16,9,7,56.25%,7,7,5,2,4,4,3,3,2,2,9,4,5,3,2,2,0,1,0,,,,,,Tuscan,Ultra,,X,,3,O,1,1,,X,,D,8,,X,,3,O,6,,,,,D,0,,,,,,,1,15,6,,2,0,2,0,0,0,7,0,0,6,2,1,8,0,1,1,0,8,,Subliners,3,3,0,100.00%,1,1,0,1,1,0,0,7,0,1,4,2,2,0,27,2,2,2,0,4
Bocage,Rokkr,22,20,25,23,13,14,36,3,26,17,15,12,,,,226,12,,51,17,3,68,5,3,28,-34,2,49,2,2,30,-14,2,18.83,36,3,0,0,0,0,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Rokkr,,B,O,,,,D,,,A,O,,,B,D,,1,A,O,,1,,D,X,,A,O,X,1,,D,X,,,O,,,,,,,,,,3,,5,1,1,0,3,1,1,0,4,2,2,2,0,0,1,0,,,Rokkr,9,3,6,33.33%,3,5,1,4,1,0,3,1,1,0,4,2,2,2,2,0,0,1,0,,,,,,Tuscan,Rokkr,1,,X,,D,11,,X,,3,O,5,1,,X,,D,12,1,,X,5,O,4,,,,,,,3,32,8,,2,1,1,0,1,1,9,0,1,8,2,2,23,0,2,2,0,6,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Ultra,13,24,17,34,9,14,14,45,13,35,7,25,,,,250,,,34,-17,3,63,-5,3,62,34,2,47,-2,2,44,14,2,20.83,45,7,0,0,0,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,11,5,6,45.45%,6,5,2,3,3,2,2,1,0,0,6,3,3,3,3,1,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
