HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Subliners,1,28,6,29,27,20,6,9,19,56,45,0,,,,246,12,,66,13,3,34,-15,3,15,-56,2,48,-8,2,83,62,2,20.50,56,1,1,1,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
Tuscan,Mutineers,26,7,36,26,20,27,27,35,30,1,0,15,,,,250,,,53,-13,3,49,15,3,71,56,2,56,8,2,21,-62,2,20.83,36,7,0,1,1,1,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Map,Team,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Berlin,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,Map,Team,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Gavutu,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpTic,61,85,-24,3,75,31,44,3,42,57,-15,2,36,40,-4,2,22,37,-15,2,236,250,-14,0,2,0,1,12,,,,,,Desert Siege,Subliners,1,,D,X,,,O,,1,A,D,,1,B,O,X,,B,D,X,1,A,O,X,1,,D,X,,A,O,X,1,,D,X,,,,,,,,,6,,4,2,3,2,2,1,1,1,5,4,4,3,1,1,1,0,,,Breach,17,8,4,47.06%,8,9,5,4,5,3,3,3,4,2,8,3,5,3,2,0,0,3,0,,,,,,Tuscan,Mutineers,,X,,3,O,0,1,,X,,D,8,,X,,3,O,0,1,,X,,D,5,,X,,3,O,4,2,17,9,,3,0,3,0,0,0,4,0,0,9,2,2,13,0,2,2,0,10,,Breach,4,1,3,25.00%,2,0,2,1,0,0,0,9,0,0,4,2,1,1,4,0,1,1,0,11
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Mutineers,,,O,,1,,D,X,,A,O,X,,B,D,,1,B,O,,,A,D,,,,O,,1,A,D,,,,O,,,,,,,,,,3,,5,1,1,0,1,0,1,1,4,2,1,1,2,1,1,0,,,OpTic,9,3,6,33.33%,4,4,2,2,2,1,0,0,1,1,5,1,4,2,1,2,0,2,0,,,,,,Tuscan,Subliners,1,,X,,D,9,,X,,5,O,7,1,,X,,D,11,,X,,5,O,6,1,,X,,D,8,3,41,10,,2,0,2,0,0,0,13,0,0,10,3,3,28,0,3,1,2,9,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Subliners,39,20,14,33,14,33,2,54,8,33,,,,,,250,10,,72,53,2,22,-21,2,68,31,2,41,0,2,47,36,2,25.00,54,2,1,0,0,1,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,14,6,8,42.86%,6,7,3,4,4,3,0,0,2,2,7,3,4,2,1,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,4,3,1,75.00%,2,1,1,2,1,1,1,12,1,0,11,2,2,0,21,1,2,2,0,4
Berlin,Mutineers,6,18,37,7,9,13,25,0,34,2,,,,,,151,,,19,-53,2,43,21,2,37,-31,2,41,0,2,11,-36,2,15.10,37,0,0,1,1,0,,,Mutineers,19,72,-53,2,43,22,21,2,37,68,-31,2,41,41,0,2,11,47,-36,2,151,250,-99,0,1,1,0,10,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,6,6,0,100.00%,5,3,3,0,3,3,0,0,2,2,3,3,0,2,2,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Subliners,72,19,53,2,22,43,-21,2,68,37,31,2,41,41,0,2,47,11,36,2,250,151,99,1,0,0,1,10,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Rokkr,85,61,24,3,31,75,-44,3,57,42,15,2,40,36,4,2,37,22,15,2,250,236,14,0,1,0,2,12,,,,,,Bocage,Breach,1,B,D,X,,,O,,1,,D,X,,,O,,1,,D,X,,B,O,X,,A,D,,1,,O,X,,,D,,1,B,O,,,A,O,,5,,6,2,2,1,1,0,2,1,5,3,3,3,1,0,1,1,,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,,,,1,O,9,,,,,D,0,,X,,3,O,2,,,,,,,,,,,,,0,11,4,,2,0,1,0,0,0,11,0,0,4,1,0,0,0,0,0,0,4,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Breach,19,8,14,48,22,45,1,8,50,0,5,,,,,220,11,,69,34,3,9,-65,2,22,-46,2,98,94,2,22,-47,2,20.00,50,0,1,1,1,1,,,Royal Ravens,25,71,-46,3,71,26,45,2,86,16,70,2,28,48,-20,2,40,24,16,2,250,185,65,2,2,0,3,11,,,,,,Bocage,OpTic,,B,O,,1,,D,X,,,O,,1,,D,X,,,O,,1,B,D,,1,A,O,X,,,D,,1,,O,X,,B,D,X,1,A,D,X,6,,5,2,2,2,1,1,1,0,6,4,4,3,1,1,2,1,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Breach,1,X,X,,D,6,1,X,,4,O,6,1,,X,,D,6,,,,,,,,,,,,,3,18,4,,1,1,1,1,0,0,6,0,1,4,2,2,12,1,2,2,0,4,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,OpTic,17,27,26,4,18,2,47,42,0,51,16,,,,,250,,,35,-34,3,74,65,2,68,46,2,4,-94,2,69,47,2,22.73,51,0,1,1,1,1,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra,71,25,46,3,26,71,-45,2,16,86,-70,2,48,28,20,2,24,40,-16,2,185,250,-65,0,3,2,2,11,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,10,4,6,40.00%,6,5,1,4,2,1,1,0,0,0,5,3,2,4,3,3,1,1,1,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
