,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
OpTic,26,11,70.27%,2.38,1.65,0.73,149,88,61,59.06%,1242,26.93,73,26,47,35.62%,54,24,44.44%,27,18,66.67%,16,61.54%,10,38.46%,512,7.01,289,3.96,76,62,14,81.58%,19,53,54,87.10%,8,12.90%,730,9.61,272,3.58
FaZe,27,17,61.36%,2.39,1.93,0.45,190,105,85,55.26%,1547,24.04,93,28,65,30.11%,70,23,32.86%,29,22,75.86%,17,60.71%,11,39.29%,659,7.09,355,3.82,97,77,20,79.38%,16,65,67,87.01%,10,12.99%,888,9.15,361,3.72
Surge,19,12,61.29%,2.48,1.84,0.65,134,77,57,57.46%,977,22.87,66,27,39,40.91%,50,24,48.00%,22,17,77.27%,14,51.85%,13,48.15%,414,6.27,257,3.89,68,50,18,73.53%,21,39,38,76.00%,12,24.00%,563,8.28,231,3.40
Thieves,20,16,55.56%,2.14,1.86,0.28,144,77,67,53.47%,1028,21.31,74,26,48,35.14%,52,23,44.23%,29,19,65.52%,16,61.54%,10,38.46%,490,6.62,287,3.88,70,51,19,72.86%,33,40,40,78.43%,11,21.57%,538,7.69,239,3.41
Ultra,18,16,52.94%,2.29,2.03,0.26,147,78,69,53.06%,928,20.58,74,24,50,32.43%,52,20,38.46%,24,17,70.83%,13,54.17%,11,45.83%,380,5.14,281,3.80,73,54,19,73.97%,17,45,44,81.48%,10,18.52%,548,7.51,266,3.64
Rokkr,14,14,50.00%,2.21,2.36,-0.14,126,62,66,49.21%,905,21.31,65,16,49,24.62%,51,12,23.53%,17,12,70.59%,8,50.00%,8,50.00%,373,5.74,242,3.72,61,46,17,75.41%,10,41,40,86.96%,6,13.04%,532,8.72,235,3.85
Mutineers,15,16,48.39%,2.03,2.26,-0.23,133,63,70,47.37%,921,20.55,69,13,56,18.84%,55,13,23.64%,11,9,81.82%,9,69.23%,4,30.77%,402,5.83,230,3.33,64,50,14,78.13%,14,48,43,86.00%,7,14.00%,519,8.11,227,3.55
Subliners,14,16,46.67%,2.10,2.20,-0.10,129,63,66,48.84%,875,19.67,58,12,46,20.69%,42,11,26.19%,13,7,53.85%,6,50.00%,6,50.00%,317,5.47,205,3.53,71,51,20,71.83%,24,43,38,74.51%,13,25.49%,558,7.86,239,3.37
Breach,13,19,40.63%,1.91,2.22,-0.31,132,61,71,46.21%,897,21.51,68,16,52,23.53%,51,14,27.45%,12,9,75.00%,7,43.75%,9,56.25%,435,6.40,250,3.68,64,45,19,70.31%,11,44,37,82.22%,8,17.78%,462,7.22,245,3.83
Royal Ravens,11,20,35.48%,1.71,2.42,-0.71,128,53,75,41.41%,966,20.66,67,17,50,25.37%,42,16,38.10%,22,13,59.09%,12,70.59%,5,29.41%,515,7.69,231,3.45,61,36,25,59.02%,13,32,32,88.89%,4,11.11%,451,7.39,235,3.85
Guerrillas,11,22,33.33%,2.03,2.55,-0.52,151,67,84,44.37%,1078,20.66,75,13,62,17.33%,48,12,25.00%,14,7,50.00%,6,46.15%,7,53.85%,453,6.04,249,3.32,76,54,22,71.05%,17,48,42,77.78%,12,22.22%,625,8.22,289,3.80
Legion,8,17,32.00%,1.52,2.48,-0.96,100,38,62,38.00%,776,22.33,50,7,43,14.00%,30,7,23.33%,10,5,50.00%,5,71.43%,2,28.57%,370,7.40,157,3.14,50,31,19,62.00%,9,29,25,80.65%,6,19.35%,406,8.12,194,3.88
Matches Played,196,,,,,,Total Rds,832,Total LL,12140,Avg LL,14.59,832,225,607,27.04%,597,199,33.33%,230,155,67.39%,129,57.33%,96,42.67%,5320,6.39,3033,3.65,831,607,226,73.04%,204,527,500,82.37%,107,17.63%,6820,8.21,3033,3.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAVUTU,,,,,,,Rounds,,,,,,Offense,,,,,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Totals,W,L,W%,Lives Left,Avg LL,Rounds,W,L,W%,A Cap,A Cap W,A Cap W%,B Cap,B Cap W,B Cap W%,Cap W,Cap W%,Wipe W,Wipe W%,Lives Left,Avg LL,Ticks,Avg Ticks,Rounds,W,L,W%,A Def,B Def,Time W,Time W%,Wipe Wins,Wipe W%,Lives Left,Avg LL,Ticks Allow,Avg TA
OpTic,6,1,85.71%,2.71,1.29,1.43,28,19,9,67.86%,319,11.39,12,5,7,41.67%,9,5,55.56%,6,5,83.33%,5,100.00%,0,0.00%,135,11.25,52,4.33,16,14,2,87.50%,7,14,13,92.86%,1,7.14%,184,11.50,40,2.50
Thieves,8,4,66.67%,2.50,1.75,0.75,51,30,21,58.82%,469,9.20,26,7,19,26.92%,17,7,41.18%,4,3,75.00%,3,42.86%,4,57.14%,188,7.23,79,3.04,25,23,2,92.00%,16,23,23,100.00%,0,0.00%,281,11.24,51,2.04
Ultra,5,3,62.50%,2.63,2.13,0.50,38,21,17,55.26%,353,9.29,19,5,14,26.32%,10,4,40.00%,3,3,100.00%,2,40.00%,3,60.00%,162,8.53,55,2.89,19,16,3,84.21%,7,16,14,87.50%,2,12.50%,191,10.05,48,2.53
Mutineers,6,4,60.00%,2.20,2.10,0.10,43,22,21,51.16%,395,9.19,22,4,18,18.18%,12,4,33.33%,3,3,100.00%,3,75.00%,1,25.00%,191,8.68,59,2.68,21,18,3,85.71%,10,16,16,88.89%,2,11.11%,204,9.71,62,2.95
FaZe,8,7,53.33%,2.33,2.20,0.13,68,35,33,51.47%,624,9.18,34,8,26,23.53%,22,7,31.82%,5,5,100.00%,4,50.00%,4,50.00%,277,8.15,101,2.97,34,27,7,79.41%,9,26,25,92.59%,2,7.41%,347,10.21,105,3.09
Royal Ravens,7,7,50.00%,2.21,2.14,0.07,61,31,30,50.82%,615,10.08,32,9,23,28.13%,16,8,50.00%,6,5,83.33%,4,44.44%,5,55.56%,334,10.44,89,2.78,29,22,7,75.86%,12,21,21,95.45%,1,4.55%,281,9.69,88,3.03
Legion,5,5,50.00%,1.90,2.40,-0.50,43,19,24,44.19%,409,9.51,20,1,19,5.00%,8,1,12.50%,0,0,,0,0.00%,1,100.00%,194,9.70,44,2.20,23,18,5,78.26%,7,18,17,94.44%,1,5.56%,215,9.35,68,2.96
Rokkr,3,3,50.00%,2.33,2.50,-0.17,29,14,15,48.28%,235,8.10,14,1,13,7.14%,10,1,10.00%,0,0,,0,0.00%,1,100.00%,81,5.79,43,3.07,15,13,2,86.67%,4,13,13,100.00%,0,0.00%,154,10.27,46,3.07
Subliners,6,7,46.15%,2.15,2.15,0.00,56,28,28,50.00%,482,8.61,27,6,21,22.22%,20,6,30.00%,3,3,100.00%,3,50.00%,3,50.00%,201,7.44,82,3.04,29,22,7,75.86%,13,22,20,90.91%,2,9.09%,281,9.69,83,2.86
Guerrillas,6,9,40.00%,2.27,2.60,-0.33,73,34,39,46.58%,617,8.45,38,7,31,18.42%,21,7,33.33%,3,3,100.00%,3,42.86%,4,57.14%,311,8.18,107,2.82,35,27,8,77.14%,8,27,22,81.48%,5,18.52%,306,8.74,117,3.34
