,,,,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Berlin,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,PF,PA,50 Pt Hill,0 Pt Hill,50 PHA,Shutouts,,Team,W,L,Win%,PPG,PPGA,PF,PA,P/M,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,50 Pt Hill,0 Pt Hill,50 PHA,Shutouts
FaZe,43,28,60.56%,230.39,206.14,24.25,16358,14636,30,46,17,57,,Guerrillas,12,4,75.00%,230.25,207.94,3684,3327,357,26.02,18.86,1093,792,301,42,17.59,22.78,651,843,-192,37,22.35,22.76,760,774,-14,34,21.29,16.84,660,522,138,31,17.93,13.66,520,396,124,29,7,6,4,13
OpTic,35,25,58.33%,223.72,210.35,13.37,13423,12621,17,42,10,52,,Subliners,12,5,70.59%,226.29,203.41,3847,3458,389,24.20,19.32,1065,850,215,44,20.16,20.87,766,793,-27,38,27.21,19.74,925,671,254,34,18.64,19.76,615,652,-37,33,15.35,15.87,476,492,-16,31,5,11,6,16
Royal Ravens,32,23,58.18%,227.98,213.95,14.04,12539,11767,22,44,25,47,,Royal Ravens,11,7,61.11%,235.39,203.28,4237,3659,578,22.54,22.27,1082,1069,13,48,23.79,16.60,1023,714,309,43,27.06,21.64,974,779,195,36,18.06,18.11,650,652,-2,36,14.94,13.09,508,445,63,34,8,11,4,10
Thieves,33,27,55.00%,220.28,217.13,3.15,13217,13028,20,46,24,39,,Breach,8,6,57.14%,235.00,202.79,3290,2839,451,26.71,19.26,1015,732,283,38,19.82,18.03,674,613,61,34,25.53,20.43,766,613,153,30,19.00,16.57,532,464,68,28,12.12,16.68,303,417,-114,25,6,9,5,13
Subliners,29,24,54.72%,220.51,213.74,6.77,11687,11328,14,33,17,38,,Thieves,10,8,55.56%,220.22,219.94,3964,3959,5,19.21,23.85,922,1145,-223,48,22.71,20.17,931,827,104,41,20.22,26.89,748,995,-247,37,21.94,15.97,790,575,215,36,16.85,12.26,573,417,156,34,8,11,3,14
Breach,29,26,52.73%,222.56,215.76,6.80,12241,11867,19,48,22,50,,Ultra,6,6,50.00%,206.92,224.00,2483,2688,-205,21.38,21.69,684,694,-10,32,22.29,18.29,624,512,112,28,21.79,27.50,523,660,-137,24,15.25,19.33,366,464,-98,24,12.43,15.57,286,358,-72,23,1,11,6,8
Surge,26,27,49.06%,227.15,218.45,8.70,12039,11578,21,39,16,43,,Surge,6,6,50.00%,228.17,212.75,2738,2553,185,22.66,22.81,725,730,-5,32,21.58,19.50,561,507,54,26,27.08,21.92,650,526,124,24,20.79,19.42,499,466,33,24,15.15,16.20,303,324,-21,20,8,9,4,14
Guerrillas,25,28,47.17%,215.72,226.08,-10.36,11433,11982,23,41,23,44,,OpTic,6,9,40.00%,215.20,218.00,3228,3270,-42,25.56,16.98,1048,696,352,41,16.03,24.65,545,838,-293,34,23.03,22.81,737,730,7,32,15.67,19.37,470,581,-111,30,14.27,14.17,428,425,3,30,3,15,4,14
Mutineers,22,28,44.00%,214.38,222.84,-8.46,10719,11142,22,46,23,46,,Rokkr,5,9,35.71%,206.00,236.86,2884,3316,-432,18.11,27.34,688,1039,-351,38,19.64,20.39,648,673,-25,33,21.67,25.03,650,751,-101,30,16.36,17.86,458,500,-42,28,16.92,13.58,440,353,87,26,0,13,5,7
Rokkr,20,27,42.55%,213.00,229.26,-16.26,10011,10775,8,36,16,23,,Mutineers,3,8,27.27%,206.64,240.00,2273,2640,-367,18.10,28.07,543,842,-299,30,19.76,18.76,494,469,25,25,25.83,22.35,594,514,80,23,16.77,22.23,369,489,-120,22,13.00,15.52,273,326,-53,21,4,11,6,9
Ultra,23,36,38.98%,212.17,229.34,-17.17,12518,13531,20,56,22,43,,FaZe,2,6,25.00%,211.25,237.63,1690,1901,-211,19.64,23.14,432,509,-77,22,20.79,19.11,395,363,32,19,19.25,28.25,308,452,-144,16,19.50,22.63,312,362,-50,16,16.20,14.33,243,215,28,15,1,9,4,2
Legion,13,31,29.55%,195.11,238.98,-43.86,8585,10515,13,33,14,28,,Legion,2,9,18.18%,179.55,243.91,1975,2683,-708,19.07,25.93,553,752,-199,29,17.88,24.54,429,589,-160,24,19.41,27.14,427,597,-170,22,18.60,18.30,372,366,6,20,9.70,18.95,194,379,-185,20,4,11,4,7
Maps Played,330,,,,,,,Totals,229,510,229,510,,Maps Played,83,,PPG,437.27,Points,36293,Hills,902,PPH,44.37,Pts,9850,Hills,222,PPH,40.53,Pts,7741,Hills,191,PPH,47.15,Pts,8062,Hills,171,PPH,37.15,Pts,6093,Hills,164,PPH,29.53,Pts,4547,Hills,154,50 Pts,55,Shutouts,127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg Hills Per Match,,,,Average Combined Pts per Rotation,,,,PPG = Points Per Game,,,,,,Bocage,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,
Bocage,11.99,,,Map,Hill,PPH,,PPGA = Points Per Game Against,,,,,,Team,W,L,Win%,PPG,PPGA,PF,PA,P/M,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,50 Pt Hill,0 Pt Hill,50 PHA,Shutouts
Berlin,10.87,,,Berlin,P3,47.15,,PPH = Points Per Hill,,,,,,FaZe,14,5,73.68%,234.26,198.53,4451,3772,679,15.06,11.87,813,641,172,54,22.52,17.40,1081,835,246,48,22.29,20.80,914,853,61,41,23.82,17.71,905,673,232,38,19.42,20.26,738,770,-32,38,1,8,0,12
Tuscan,10.58,,,Gavutu,P4,46.88,,PPHA = Points Per Hill Against,,,,,,Rokkr,9,5,64.29%,235.36,212.00,3295,2968,327,13.80,12.73,552,509,43,40,18.50,19.65,740,786,-46,40,22.76,19.55,751,645,106,33,23.80,17.97,714,539,175,30,19.21,17.46,538,489,49,28,4,4,1,7
Gavutu,9.71,,,Gavutu,P3,46.30,,P1 = Hill 1     P2 = Hill 2....etc,,,,,,Surge,11,8,57.89%,232.42,216.68,4416,4117,299,14.48,12.04,782,650,132,54,19.17,19.48,997,1013,-16,52,21.73,19.91,978,896,82,45,21.34,24.21,811,920,-109,38,22.92,17.24,848,638,210,37,4,7,2,13
,,,,Tuscan,P4,46.10,,PF = Points For,,,,,,Subliners,6,5,54.55%,210.91,212.82,2320,2341,-21,14.93,11.33,448,340,108,30,19.76,19.69,573,571,2,29,23.27,19.50,512,429,83,22,18.91,23.23,416,511,-95,22,16.86,22.27,371,490,-119,22,2,3,1,3
,,,,Berlin,P1,44.37,,PA= Points Against,,,,,,OpTic,10,9,52.63%,206.79,214.58,3929,4077,-148,9.02,13.18,505,738,-233,56,17.64,17.45,970,960,10,55,18.37,21.33,790,917,-127,43,24.63,18.34,936,697,239,38,19.16,20.13,728,765,-37,38,2,13,2,11
,,,,Gavutu,P2,43.06,,P/M = Hill Points Plus/Minus,,,,,,Breach,8,8,50.00%,221.00,223.50,3536,3576,-40,12.60,11.17,605,536,69,48,19.52,19.57,898,900,-2,46,19.65,20.38,786,815,-29,40,19.44,22.47,661,764,-103,34,18.31,17.53,586,561,25,32,0,7,3,10
,,,,Tuscan,P5,42.80,,H = Hills,,,,,,Ultra,7,9,43.75%,212.13,225.94,3394,3615,-221,9.24,14.15,425,651,-226,46,22.80,15.09,1026,679,347,45,18.16,22.45,690,853,-163,38,19.65,21.59,668,734,-66,34,18.87,22.52,585,698,-113,31,2,12,2,9
,,,,Bocage,P4,42.44,,50 PHA = 50 Pt Hills Given Up,,,,,,Thieves,3,4,42.86%,203.00,230.29,1421,1612,-191,14.21,13.68,270,260,10,19,15.16,25.32,288,481,-193,19,16.87,23.47,253,352,-99,15,23.14,20.79,324,291,33,14,22.00,17.54,286,228,58,13,0,7,3,2
,,,,Gavutu,P1,42.21,,Shutouts - Not letting a team score a point,,,,,,Mutineers,5,7,41.67%,227.83,215.17,2734,2582,152,12.43,12.66,435,443,-8,35,20.65,19.44,702,661,41,34,20.26,16.06,628,498,130,31,17.58,24.04,422,577,-155,24,22.79,16.79,547,403,144,24,2,6,2,5
,,,,Tuscan,P2,41.74,,,,,,,,Guerrillas,4,7,36.36%,224.73,227.82,2472,2506,-34,11.88,10.30,392,340,52,33,17.66,20.81,565,666,-101,32,20.79,19.79,582,554,28,28,20.71,20.25,497,486,11,24,19.82,20.91,436,460,-24,22,2,6,1,4
,,,,Tuscan,P3,41.62,,,,,,,,Legion,4,12,25.00%,195.94,235.69,3135,3771,-636,10.93,13.07,503,601,-98,46,16.33,22.95,702,987,-285,43,20.56,21.08,740,759,-19,36,18.97,23.69,607,758,-151,32,18.22,20.81,583,666,-83,32,1,8,3,6
,,,,Tuscan,P1,41.24,,,,,,,,Royal Ravens,0,2,0.00%,136.00,219.00,272,438,-166,9.00,13.20,45,66,-21,5,14.60,15.20,73,76,-3,5,13.25,26.50,53,106,-53,4,21.00,23.75,84,95,-11,4,5.67,31.67,17,95,-78,3,0,2,0,1
,,,,Bocage,P3,40.84,,,,,,,,Maps Played,81,,PPG,436.73,Points,35375,Hills,971,PPH,24.79,Pts,5775,Hills,233,PPH,38.46,Pts,8615,Hills,224,PPH,40.84,Pts,7677,Hills,188,PPH,42.44,Pts,7045,Hills,166,PPH,39.14,Pts,6263,Hills,160,50 Pts,20,Shutouts,83
,,,,Gavutu,P5,40.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Berlin,P2,40.53,,,,,,,,Gavutu,,,,,,,,,P1,,,,,,P2,,,,,,P3,,,,,,P4,,,,,,P5,,,,,,,,,
,,,,Bocage,P5,39.14,,,,,,,,Team,W,L,Win%,PPG,PPGA,PF,PA,P/M,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,PPH,PPHA,PF,PA,P/M,H,50 Pt Hill,0 Pt Hill,50 PHA,Shutouts
,,,,Bocage,P2,38.46,,,,,,,,OpTic,10,2,83.33%,249.58,196.75,2995,2361,634,20.45,20.34,593,590,3,29,24.58,18.42,590,442,148,24,29.08,18.75,698,450,248,24,24.74,23.83,569,548,21,23,25.95,15.76,545,331,214,21,10,6,3,18
