Game Details,,,,,,,,,,,Match Details,,,,,,,,Overall Standings,,,,,,,,,,,,,Share the link ~~~>,,https://bit.ly/3sBKa1R,,
Stage,Event,Game,Mode,Map ,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,,Stage,Event/Link,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,,Rank,Team,Total Pts,Stage Pts,Major Pts,Major Wins,W,L,W%,GW,GL,GW%,,,,,,
1,Wk 1,1,Hardpoint,Gavutu,Royal Ravens,250,Mutineers,119,Royal Ravens,,1,Wk 1,Royal Ravens,3,Mutineers,0,Royal Ravens,,1,FaZe,330,140,190,,28,13,68.29%,102,70,59.30%,,,,,,
1,Wk 1,2,SnD,Desert Siege,Royal Ravens,6,Mutineers,1,Royal Ravens,,1,Wk 1,Breach,3,Guerrillas,2,Breach,,2,OpTic,265,130,135,1,24,12,66.67%,90,55,62.07%,,,,,,
1,Wk 1,3,Control,Gavutu,Royal Ravens,3,Mutineers,1,Royal Ravens,,1,Wk 1,Subliners,0,Surge,3,Surge,,3,Thieves,215,90,125,,19,16,54.29%,76,69,52.41%,,,,,,
1,Wk 1,1,Hardpoint,Bocage,Breach,237,Guerrillas,250,Guerrillas,,1,Wk 1,FaZe,3,Legion,2,FaZe,,4,Royal Ravens,190,130,60,,17,14,54.84%,63,61,50.81%,,,,,,
1,Wk 1,2,SnD,Tuscan,Breach,6,Guerrillas,3,Breach,,1,Wk 1,Royal Ravens,3,OpTic,2,Royal Ravens,,5,Surge,185,100,85,1,15,15,50.00%,65,62,51.18%,,,,,,
1,Wk 1,3,Control,Gavutu,Breach,3,Guerrillas,2,Breach,,1,Wk 1,Surge,3,Ultra,2,Surge,,6,Breach,180,110,70,,16,16,50.00%,63,68,48.09%,,,,,,
1,Wk 1,4,Hardpoint,Berlin,Breach,214,Guerrillas,250,Guerrillas,,1,Wk 1,Subliners,1,Guerrillas,3,Guerrillas,,7,Ultra,180,90,90,,15,19,44.12%,70,72,49.30%,,,,,,
1,Wk 1,5,SnD,Berlin,Breach,6,Guerrillas,4,Breach,,1,Wk 1,Legion,1,Mutineers,3,Mutineers,,8,Subliners,160,110,50,,14,15,48.28%,59,61,49.17%,,,,,,
1,Wk 1,1,Hardpoint,Tuscan,Subliners,171,Surge,250,Surge,,1,Wk 1,Thieves,1,FaZe,3,FaZe,,9,Mutineers,160,90,70,,13,18,41.94%,54,67,44.63%,,,,,,
1,Wk 1,2,SnD,Bocage,Subliners,5,Surge,6,Surge,,1,Wk 1,Rokkr,3,OpTic,2,Rokkr,,10,Guerrillas,155,80,75,1,15,17,46.88%,59,72,45.04%,,,,,,
1,Wk 1,3,Control,Gavutu,Subliners,2,Surge,3,Surge,,1,Wk 2,Breach,3,Legion,1,Breach,,11,Rokkr,140,120,20,,14,14,50.00%,56,58,49.12%,,,,,,
1,Wk 1,1,Hardpoint,Gavutu,FaZe,218,Legion,250,Legion,,1,Wk 2,Rokkr,2,Surge,3,Surge,,12,Legion,20,10,10,,2,23,8.00%,31,73,29.81%,,,,,,
1,Wk 1,2,SnD,Desert Siege,FaZe,6,Legion,3,FaZe,,1,Wk 2,Ultra,3,Guerrillas,0,Ultra,,,Total Matches ,192,,,,,,,,,,,,,,,
1,Wk 1,3,Control,Gavutu,FaZe,1,Legion,3,Legion,,1,Wk 2,Subliners,1,Thieves,3,Thieves,,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,
1,Wk 1,4,Hardpoint,Tuscan,FaZe,250,Legion,174,FaZe,,1,Wk 2,Rokkr,1,Royal Ravens,3,Royal Ravens,,,,,,,,,,,,,,,,,,,
1,Wk 1,5,SnD,Berlin,FaZe,6,Legion,1,FaZe,,1,Wk 2,Legion,0,OpTic,3,OpTic,,Stage 1 Qualifiers,,,,,,,,,Stage 1 Major Results,,,,,HARDPOINT,,,
1,Wk 1,1,Hardpoint,Bocage,Royal Ravens,163,OpTic,188,OpTic,,1,Wk 2,FaZe,3,Breach,1,FaZe,,Rank,TEAM,W,L,Win%,GW,GL,GW%,Pts,Place ,Team,,Points,,TEAM,W,L,Win%
1,Wk 1,2,SnD,Berlin,Royal Ravens,5,OpTic,6,OpTic,,1,Wk 2,Thieves,3,Mutineers,2,Thieves,,1,FaZe,5,0,100.00%,15,5,75.00%,50,1,OpTic,,65,,FaZe,43,28,60.56%
1,Wk 1,3,Control,Tuscan,Royal Ravens,3,OpTic,1,Royal Ravens,,1,Wk 2,Royal Ravens,1,Guerrillas,3,Guerrillas,,2,Royal Ravens,4,1,80.00%,13,7,65.00%,40,2,FaZe,,50,,OpTic,35,25,58.33%
1,Wk 1,4,Hardpoint,Berlin,Royal Ravens,250,OpTic,150,Royal Ravens,,1,Wk 2,Ultra,3,Mutineers,0,Ultra,,3,Thieves,4,1,80.00%,13,8,61.90%,40,3,Royal Ravens,,40,,Royal Ravens,32,23,58.18%
1,Wk 1,5,SnD,Bocage,Royal Ravens,6,OpTic,5,Royal Ravens,,1,Wk 3,Thieves,3,Legion,1,Thieves,,4,OpTic,3,2,60.00%,13,7,65.00%,30,4,Ultra,,30,,Thieves,33,27,55.00%
1,Wk 1,1,Hardpoint,Tuscan,Surge,250,Ultra,159,Surge,,1,Wk 3,FaZe,3,Rokkr,0,FaZe,,5,Surge,3,2,60.00%,10,10,50.00%,30,5-6,Thieves,,20,,Subliners,29,24,54.72%
1,Wk 1,2,SnD,Bocage,Surge,6,Ultra,1,Surge,,1,Wk 3,Ultra,0,OpTic,3,OpTic,,6,Ultra,2,3,40.00%,9,9,50.00%,20,,Breach,,,,Breach,29,26,52.73%
1,Wk 1,3,Control,Gavutu,Surge,2,Ultra,3,Ultra,,1,Wk 3,Surge,0,Mutineers,3,Mutineers,,7,Guerrillas,2,3,40.00%,10,11,47.62%,20,7-8,Legion,,10,,Surge,26,27,49.06%
1,Wk 1,4,Hardpoint,Berlin,Surge,142,Ultra,250,Ultra,,1,Wk 3,Subliners,3,Breach,2,Subliners,,8,Breach,2,3,40.00%,10,12,45.45%,20,,Rokkr,,,,Guerrillas,25,28,47.17%
1,Wk 1,5,SnD,Berlin,Surge,6,Ultra,5,Surge,,1,Wk 3,Rokkr,3,Guerrillas,2,Rokkr,,9,Mutineers,2,3,40.00%,8,10,44.44%,20,9-12,Surge,,0,,Mutineers,22,28,44.00%
1,Wk 1,1,Hardpoint,Berlin,Subliners,158,Guerrillas,250,Guerrillas,,1,Wk 3,Thieves,3,Ultra,1,Thieves,,10,Rokkr,2,3,40.00%,9,13,40.91%,20,,Mutineers,,,,Rokkr,20,27,42.55%
1,Wk 1,2,SnD,Berlin,Subliners,0,Guerrillas,6,Guerrillas,,1,Wk 3,Royal Ravens,3,Surge,1,Royal Ravens,,11,Subliners,1,4,20.00%,6,14,30.00%,10,,Subliners,,,,Ultra,23,36,38.98%
1,Wk 1,3,Control,Tuscan,Subliners,3,Guerrillas,2,Subliners,,1,Wk 3,Breach,1,OpTic,3,OpTic,,12,Legion,0,5,0.00%,5,15,25.00%,0,,Guerrillas,,,,Legion,13,31,29.55%
1,Wk 1,4,Hardpoint,Tuscan,Subliners,235,Guerrillas,250,Guerrillas,,1,Wk 3,FaZe,3,Subliners,1,FaZe,,,,,,,,,,,,,,,,,,,
1,Wk 1,1,Hardpoint,Bocage,Legion,200,Mutineers,250,Mutineers,,1,Major,Royal Ravens,3,Guerrillas,2,Royal Ravens,,Stage 2 Qualifiers,,,,,,,,,Stage 2 Major Results,,,,,,,,
1,Wk 1,2,SnD,Tuscan,Legion,6,Mutineers,5,Legion,,1,Major,FaZe,3,Breach,0,FaZe,,Rank,TEAM,W,L,Win%,GW,GL,GW%,Pts,Place ,Team,,Points,,SnD,,,
1,Wk 1,3,Control,Gavutu,Legion,2,Mutineers,3,Mutineers,,1,Major,Thieves,2,Ultra,3,Ultra,,1,OpTic,5,0,100.00%,15,3,83.33%,50,1,Guerrillas,,65,,TEAM,W,L,Win%
1,Wk 1,4,Hardpoint,Tuscan,Legion,140,Mutineers,250,Mutineers,,1,Major,OpTic,3,Surge,0,OpTic,,2,Breach,4,1,80.00%,13,6,68.42%,40,2,FaZe,,50,,OpTic,29,19,60.42%
1,Wk 1,1,Hardpoint,Tuscan,Thieves,250,FaZe,248,Thieves,,1,Major,Rokkr,3,Guerrillas,0,Rokkr,,3,Royal Ravens,4,1,80.00%,13,7,65.00%,40,3,Breach,,40,,Ultra,29,20,59.18%
1,Wk 1,2,SnD,Desert Siege,Thieves,4,FaZe,6,FaZe,,1,Major,Subliners,0,Thieves,3,Thieves,,4,Subliners,3,2,60.00%,10,9,52.63%,30,4,Mutineers,,30,,Rokkr,22,17,56.41%
1,Wk 1,3,Control,Tuscan,Thieves,0,FaZe,3,FaZe,,1,Major,Mutineers,2,Breach,3,Breach,,5,FaZe,3,2,60.00%,11,10,52.38%,30,5-6,Surge,,20,,FaZe,32,25,56.14%
1,Wk 1,4,Hardpoint,Bocage,Thieves,136,FaZe,250,FaZe,,1,Major,Legion,3,Surge,2,Legion,,6,Guerrillas,3,2,60.00%,9,9,50.00%,30,,OpTic,,,,Royal Ravens,20,18,52.63%
1,Wk 1,1,Hardpoint,Tuscan,Rokkr,157,OpTic,250,OpTic,,1,Major,Rokkr,1,Thieves,3,Thieves,,7,Mutineers,2,3,40.00%,7,9,43.75%,20,7-8,Thieves,,10,,Guerrillas,23,22,51.11%
1,Wk 1,2,SnD,Tuscan,Rokkr,6,OpTic,1,Rokkr,,1,Major,Legion,1,Breach,3,Breach,,8,Surge,2,3,40.00%,9,12,42.86%,20,,Royal Ravens,,,,Breach,21,23,47.73%
1,Wk 1,3,Control,Tuscan,Rokkr,2,OpTic,3,OpTic,,1,Major,Ultra,1,Royal Ravens,3,Royal Ravens,,9,Rokkr,2,3,40.00%,8,13,38.10%,20,9-12,Rokkr,,0,,Thieves,23,26,46.94%
1,Wk 1,4,Hardpoint,Berlin,Rokkr,250,OpTic,244,Rokkr,,1,Major,OpTic,3,FaZe,2,OpTic,,10,Ultra,1,4,20.00%,10,13,43.48%,10,,Subliners,,,,Surge,20,23,46.51%
1,Wk 1,5,SnD,Berlin,Rokkr,6,OpTic,5,Rokkr,,1,Major,Ultra,3,Breach,2,Ultra,,11,Legion,1,4,20.00%,8,14,36.36%,10,,Ultra,,,,Subliners,16,21,43.24%
1,Wk 2,1,Hardpoint,Bocage,Breach,250,Legion,155,Breach,,1,Major,FaZe,3,Thieves,2,FaZe,,12,Thieves,0,5,0.00%,7,15,31.82%,0,,Legion,,,,Mutineers,17,23,42.50%
1,Wk 2,2,SnD,Tuscan,Breach,6,Legion,2,Breach,,1,Major,Royal Ravens,1,OpTic,3,OpTic,,,,,,,,,,,,,,,,Legion,10,25,28.57%
