,Stats DO NOT include the Kickoff Classic or Pro-Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERALL,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
OpTic,29,19,60.42%,5.04,4.35,0.69,451,242,209,53.66%,228,50.55%,174,76.32%,225,125,100,55.56%,107,47.56%,83,77.57%,126,83,65.87%,49,33,67.35%,77,50,64.94%,226,117,109,51.77%,121,53.54%,91,75.21%,129,45,34.88%,80,25,31.25%,49,20,40.82%
Ultra,29,20,59.18%,4.80,4.31,0.49,446,235,211,52.69%,239,53.59%,175,73.22%,222,117,105,52.70%,118,53.15%,84,71.19%,132,89,67.42%,88,63,71.59%,44,26,59.09%,224,118,106,52.68%,121,54.02%,91,75.21%,130,47,36.15%,79,31,39.24%,51,16,31.37%
Rokkr,22,17,56.41%,4.82,4.36,0.46,358,188,170,52.51%,184,51.40%,140,76.09%,185,89,96,48.11%,87,47.03%,62,71.26%,100,64,64.00%,57,35,61.40%,43,29,67.44%,173,99,74,57.23%,97,56.07%,78,80.41%,94,37,39.36%,55,23,41.82%,39,14,35.90%
FaZe,32,25,56.14%,4.75,4.19,0.56,510,271,239,53.14%,251,49.22%,190,75.70%,255,127,128,49.80%,112,43.92%,79,70.54%,145,98,67.59%,77,50,64.94%,68,48,70.59%,255,144,111,56.47%,139,54.51%,111,79.86%,137,56,40.88%,76,29,38.16%,61,27,44.26%
Royal Ravens,20,18,52.63%,4.68,4.74,-0.05,358,178,180,49.72%,167,46.65%,129,77.25%,176,76,100,43.18%,74,42.05%,58,78.38%,92,61,66.30%,57,36,63.16%,35,25,71.43%,182,102,80,56.04%,93,51.10%,71,76.34%,102,41,40.20%,50,24,48.00%,52,17,32.69%
Guerrillas,23,22,51.11%,4.73,4.49,0.24,415,213,202,51.33%,232,55.90%,171,73.71%,211,103,108,48.82%,112,53.08%,82,73.21%,115,71,61.74%,54,33,61.11%,61,38,62.30%,204,110,94,53.92%,120,58.82%,89,74.17%,111,41,36.94%,65,25,38.46%,46,16,34.78%
Breach,21,23,47.73%,4.43,4.64,-0.20,399,195,204,48.87%,191,47.87%,138,72.25%,195,96,99,49.23%,82,42.05%,61,74.39%,118,78,66.10%,62,46,74.19%,56,32,57.14%,204,99,105,48.53%,109,53.43%,77,70.64%,111,35,31.53%,66,21,31.82%,45,14,31.11%
Thieves,23,26,46.94%,4.31,4.53,-0.22,433,211,222,48.73%,214,49.42%,141,65.89%,215,99,116,46.05%,103,47.91%,72,69.90%,119,73,61.34%,59,39,66.10%,60,34,56.67%,218,112,106,51.38%,111,50.92%,69,62.16%,127,47,37.01%,62,23,37.10%,65,24,36.92%
Surge,20,23,46.51%,4.40,4.79,-0.40,395,189,206,47.85%,203,51.39%,139,68.47%,201,98,103,48.76%,95,47.26%,71,74.74%,127,74,58.27%,85,47,55.29%,42,27,64.29%,194,91,103,46.91%,108,55.67%,68,62.96%,100,33,33.00%,50,13,26.00%,50,20,40.00%
Subliners,16,21,43.24%,4.30,4.92,-0.62,341,159,182,46.63%,171,50.15%,116,67.84%,167,71,96,42.51%,73,43.71%,47,64.38%,88,57,64.77%,52,34,65.38%,36,23,63.89%,174,88,86,50.57%,98,56.32%,69,70.41%,91,25,27.47%,51,14,27.45%,40,11,27.50%
Mutineers,17,23,42.50%,4.70,4.68,0.03,375,188,187,50.13%,167,44.53%,120,71.86%,190,91,99,47.89%,77,40.53%,51,66.23%,109,75,68.81%,65,45,69.23%,44,30,68.18%,185,97,88,52.43%,90,48.65%,69,76.67%,106,38,35.85%,52,17,32.69%,54,21,38.89%
Legion,10,25,28.57%,3.71,5.34,-1.63,317,130,187,41.01%,149,47.00%,92,61.74%,157,57,100,36.31%,57,36.31%,37,64.91%,67,38,56.72%,39,22,56.41%,28,16,57.14%,160,73,87,45.63%,92,57.50%,55,59.78%,100,33,33.00%,58,16,27.59%,42,17,40.48%
Matches Played,262,,,,Totals,,Rounds,,2399,,FBW,1725,FBW%,71.90%,2399,1149,1250,47.89%,1097,45.73%,787,71.74%,1338,861,64.35%,744,483,64.92%,594,378,63.64%,2399,1250,1149,52.11%,1299,54.15%,938,72.21%,1338,478,35.72%,744,261,35.08%,594,217,36.53%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W = Wins,PPG = Rounds Won per Game,,,,,FB = First Blood,,,,PW% = Bomb Plant Win%,,,,,AP = A Bomb Plants,,,,BP = B Bomb Plants,,,,AP = A Bomb Plants,,,,BP = B Bomb Plants,,,,,,,,,,,,,,,,,,,,,
L = Losses,PPGA = Rounds Lost per Game,,,,,FB W = First Blood Wins,,,,RW% = Bomb Retake Win%,,,,,APW = A Bomb Plant Wins,,,,BPW = B Bomb Plant Wins,,,,ARW = A Bomb Retake Wins,,,,BRW = B Bomb Retake Wins,,,,,,,,,,,,,,,,,,,,,
W% = Win %,RPM = Rounds Per Match,,,,,FB W% = First Blood Win%,,,,,,,,,APW% = A Bomb Plant Win%,,,,BPW% = B Bomb Plant Win%,,,,ARW% = A Bomb Retake Win%,,,,BRW% = B Bomb Retake Win%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLIN,,,,,,,ROUNDS,,,,,,,,OFFENSE,,,,,,,,,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,
Team,W,L,Win%,PPG,PPGA,Avg Diff,Total,W,L,W%,FB,FB %,FB W,FB W%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,PW,PW%,AP,APW,APW%,BP,BPW,BPW%,Rds,W,L,W%,FB,FB%,FB W,FB W%,Plants,Retakes,RW%,AP,ARW,ARW%,BP,BRW,BRW%
Rokkr,5,2,71.43%,5.00,4.29,0.71,65,35,30,53.85%,32,49.23%,28,87.50%,34,18,16,52.94%,18,52.94%,15,83.33%,24,13,54.17%,12,7,58.33%,12,6,50.00%,31,17,14,54.84%,14,45.16%,13,92.86%,19,8,42.11%,8,4,50.00%,11,4,36.36%
Ultra,11,5,68.75%,5.06,4.44,0.63,152,81,71,53.29%,85,55.92%,59,69.41%,78,47,31,60.26%,47,60.26%,35,74.47%,54,38,70.37%,34,26,76.47%,20,12,60.00%,74,34,40,45.95%,38,51.35%,24,63.16%,52,18,34.62%,29,12,41.38%,23,6,26.09%
Breach,9,5,64.29%,4.86,4.14,0.71,126,68,58,53.97%,64,50.79%,49,76.56%,62,36,26,58.06%,31,50.00%,24,77.42%,44,30,68.18%,15,12,80.00%,29,18,62.07%,64,32,32,50.00%,33,51.56%,25,75.76%,38,12,31.58%,21,7,33.33%,17,5,29.41%
OpTic,11,8,57.89%,4.95,4.37,0.58,177,94,83,53.11%,82,46.33%,62,75.61%,89,56,33,62.92%,40,44.94%,34,85.00%,55,41,74.55%,15,13,86.67%,40,28,70.00%,88,38,50,43.18%,42,47.73%,28,66.67%,57,16,28.07%,36,8,22.22%,21,8,38.10%
FaZe,11,8,57.89%,4.79,4.11,0.68,169,91,78,53.85%,79,46.75%,56,70.89%,86,47,39,54.65%,36,41.86%,25,69.44%,47,33,70.21%,18,14,77.78%,29,19,65.52%,83,44,39,53.01%,43,51.81%,31,72.09%,46,17,36.96%,23,7,30.43%,23,10,43.48%
