,Hardpoint Top Hill Averages,,,,,,,,,,,,,SnD Wins & First Bloods,,,,,,,,,
,P1,,P2,,P3,,P4,,P5,,,,,OVR,OFFENSE,,DEFENSE,,,,FB & Plant ,FB & Plant W,FB/P W%
Berlin,Breach,26.71,Royal Ravens,23.79,Subliners,27.21,Thieves,21.94,Guerrillas,17.93,,,,FB W%,W%,FB W%,W%,FB W%,,S1 WK1,57,51,89.47%
Bocage,FaZe,15.06,Ultra,22.80,Subliners,23.27,OpTic,24.63,Surge,22.92,,,Berlin,70.35%,54.62%,75.95%,45.38%,65.16%,,S1 WK2,45,36,80.00%
Gavutu,Royal Ravens,27.00,Guerrillas,28.30,Legion,31.33,FaZe,29.37,Guerrillas,26.71,,,Bocage,70.97%,40.76%,64.42%,59.24%,76.11%,,S1 WK3,38,30,78.95%
Tuscan,Royal Ravens,24.73,OpTic,25.50,Mutineers,25.73,FaZe,26.18,Guerrillas,24.54,,,Desert Siege ,73.39%,41.37%,66.51%,58.63%,79.39%,,S1 Major,72,55,76.39%
,,,,,,,,,,,,,Tuscan,73.37%,50.31%,75.42%,49.69%,71.59%,,Stage 1,212,172,81.13%
,,,,,,,,,,,,,Overall,71.90%,47.89%,71.74%,52.11%,72.21%,,S2 Wk1,28,18,64.29%
,,,,,,,,,,,,,,,,,,,,S2 Wk2,32,26,81.25%
,,,,,,,,,,,,,,,,,,,,S2 Wk3,29,19,65.52%
Record in Series Sweeps,,,,,Longest Map Winning Streaks,,,,,,,,,,SnD Plant Win%,,,,,S2 Major,73,61,83.56%
Team,W,L,W%,,Overall,,Hardpoint,,SnD,,Control,,,,Total,A ,B,,,Stage 2,162,124,76.54%
OpTic,11,1,91.67%,,OpTic,12,Subliners,9,Ultra,10,OpTic,14,,Berlin,68.32%,69.13%,67.59%,,,S3 Wk1,24,22,91.67%
FaZe,10,2,83.33%,,Ultra,11,Breach,9,Guerrillas,10,FaZe,7,,Bocage,58.44%,55.47%,62.14%,,,S3 Wk2,43,38,88.37%
Surge,5,3,62.50%,,Subliners,8,Royal Ravens,9,FaZe,6,Rokkr,7,,Desert Siege,58.97%,64.10%,52.99%,,,S3 Wk3,35,31,88.57%
Ultra,5,4,55.56%,,FaZe,7,FaZe,8,OpTic,5,Thieves,5,,Tuscan,67.37%,66.52%,69.23%,,,S3 Major,80,53,66.25%
Rokkr,5,4,55.56%,,Rokkr,7,Thieves,7,Subliners,5,Surge,5,,Overall,64.35%,64.92%,63.64%,,,Stage 3,182,144,79.12%
Thieves,6,5,54.55%,,Surge,7,Surge,7,Rokkr,5,Ultra,4,,,,,,,,S4 Wk1,34,26,76.47%
Mutineers,5,7,41.67%,,Mutineers,6,Ultra,5,Royal Ravens,5,Breach,4,,,Control W%,,,,,S4 Wk2,23,18,78.26%
Breach,3,6,33.33%,,Thieves,5,OpTic,4,Thieves,4,Mutineers,4,,,Offense,Defense,,,,S4 Wk3,53,40,75.47%
Subliners,2,4,33.33%,,Breach,5,Guerrillas,4,Breach,4,Subliners,3,,Gavutu,20.34%,79.66%,,,,S4 Major,80,53,66.25%
Royal Ravens,2,5,28.57%,,Guerrillas,5,Mutineers,4,Surge,4,Guerrillas,3,,Tuscan,24.81%,75.19%,,,,Stage 4,190,137,72.11%
Guerrillas,2,9,18.18%,,Royal Ravens,5,Rokkr,3,Mutineers,3,Royal Ravens,3,,Berlin,46.85%,53.52%,,,,Champs,,,
Legion,0,6,0.00%,,Legion,3,Legion,2,Legion,3,Legion,2,,Overall,27.04%,73.04%,,,,Totals,1492,1154,77.35%
,,,,,,,,,,,,,,,,,,,,,,,
Game 5 Records,,,,,Longest Map Losing Streaks,,,,,,,,,Records in Control Sweeps,,,,,,,,,
Team,W,L,W%,,Overall,,Hardpoint,,SnD,,Control,,,Team,W,L,W%,,,,,,
FaZe,9,4,69.23%,,Guerrillas,8,Subliners,13,Legion,10,Royal Ravens,9,,Surge,6,1,85.71%,,,,,,
Guerrillas,8,4,66.67%,,Legion,8,Ultra,10,Surge,6,Guerrillas,8,,FaZe,6,2,75.00%,,,,,,
Rokkr,7,4,63.64%,,Thieves,7,Legion,9,Mutineers,5,Legion,7,,Ultra,3,1,75.00%,,,,,,
Breach,7,5,58.33%,,Breach,7,Rokkr,5,Subliners,4,Breach,6,,Subliners,5,2,71.43%,,,,,,
Royal Ravens,4,3,57.14%,,Royal Ravens,7,Guerrillas,5,Breach,4,Ultra,5,,OpTic,7,3,70.00%,,,,,,
Mutineers,5,4,55.56%,,FaZe,6,Surge,5,FaZe,3,OpTic,4,,Breach,4,3,57.14%,,,,,,
Ultra,7,8,46.67%,,Subliners,6,FaZe,4,OpTic,3,Thieves,4,,Thieves,7,7,50.00%,,,,,,
OpTic,5,6,45.45%,,Mutineers,6,Mutineers,4,Thieves,3,FaZe,3,,Guerrillas,1,1,50.00%,,,,,,
Subliners,3,4,42.86%,,OpTic,5,Royal Ravens,4,Rokkr,3,Subliners,3,,Mutineers,1,5,16.67%,,,,,,
Surge,5,7,41.67%,,Ultra,5,OpTic,3,Guerrillas,3,Rokkr,3,,Legion,1,7,12.50%,,,,,,
Thieves,4,9,30.77%,,Rokkr,5,Thieves,3,Royal Ravens,3,Mutineers,3,,Royal Ravens,1,8,11.11%,,,,,,
Legion,2,8,20.00%,,Surge,5,Breach,3,Ultra,2,Surge,3,,Rokkr,0,2,0.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SnD Round 11 Records,,,,,Longest Series W Streak,,Longest Series L Streak,,,,Avg Pts scored in HP Loss,,,Control Round 5 Records,,,,,,,,,
Team,W,L,W%,,,,,,,,,,,Team,W,L,W%,,,,,,
Legion,4,1,80.00%,,OpTic,12,Legion,13,,,Surge,205.15,,OpTic,9,2,81.82%,,,,,,
Surge,7,3,70.00%,,Surge,9,Thieves,6,,,FaZe,200.29,,FaZe,13,9,59.09%,,,,,,
Thieves,5,4,55.56%,,FaZe,6,Ultra,5,,,Royal Ravens,197.35,,Subliners,8,6,57.14%,,,,,,
Ultra,6,5,54.55%,,Guerrillas,6,Surge,5,,,Breach,196.27,,Mutineers,7,6,53.85%,,,,,,
OpTic,8,7,53.33%,,Rokkr,5,Subliners,4,,,OpTic,195.64,,Rokkr,8,8,50.00%,,,,,,
Royal Ravens,7,7,50.00%,,Thieves,4,Breach,4,,,Ultra,189.86,,Legion,4,4,50.00%,,,,,,
Subliners,5,5,50.00%,,Subliners,4,Guerrillas,4,,,Rokkr,187.33,,Surge,8,9,47.06%,,,,,,
FaZe,6,7,46.15%,,Breach,4,OpTic,3,,,Subliners,187.00,,Breach,5,6,45.45%,,,,,,
